,,,,,,,,,
AGE,CIVIL STATUS,"YOUTH 
CLASSIFICATION","YOUTH AGE
GROUP",EDUCATIONAL BACKGROUND,WORK STATUS,,,,
29,SINGLE,WY,YOUNG ADULT,HIGH SCHOOL GRADUATE,SELF-EMPLOYED,,,,
29,SINGLE,WY,YOUNG ADULT,HIGH SCHOOL GRADUATE,CURRENTLY LOOKING FOR A JOB,,,,
23,LIVE-IN,ISY,CORE YOUTH,COLLEGE UNDERGRADUATE,UNEMPLOYED,,,,
24,SINGLE,ISY,CORE YOUTH,COLLEGE UNDERGRADUATE,UNEMPLOYED,,,,
26,SINGLE,WY,YOUNG ADULT,COLLEGE GRADUATE,EMPLOYED,,,,
20,MARRIED,OSY,CORE YOUTH,COLLEGE UNDERGRADUATE,UNEMPLOYED,,,,
28,SINGLE ,WY,YOUNG ADULT ,COLLEGE GRADUATE,SELF-EMPLOYED,,,,
15,SINGLE ,ISY,CHILD YOUTH ,HIGH SCHOOL UNDERGRADUATE,UNEMPLOYED,,,,
18,SINGLE ,WY,CORE YOUTH,HIGH SCHOOL GRADUATE ,EMPLOYED,,,,
16,SINGLE ,ISY,CHILD YOUTH ,HIGH SCHOOL UNDERGRADUATE,UNEMPLOYED,,,,
25,SINGLE ,WY,YOUNG ADULT ,HIGH SCHOOL GRADUATE ,EMPLOYED,,,,
29,SINGLE ,WY,YOUNG ADULT ,HIGH SCHOOL GRADUATE ,EMPLOYED,,,,
23,SINGLE ,OSY,CORE YOUTH,HIGH SCHOOL GRADUATE ,UNEMPLOYED,,,,
27,SINGLE ,OSY,YOUNG ADULT ,HIGH SCHOOL GRADUATE ,UNEMPLOYED,,,,
25,MARRIED ,OSY,YOUNG ADULT ,HIGH SCHOOL GRADUATE ,EMPLOYED,,,,
19,SINGLE ,OSY,CORE YOUTH,HIGH SCHOOL GRADUATE ,UNEMPLOYED,,,,
26,SINGLE ,WY,YOUNG ADULT ,HIGH SCHOOL GRADUATE ,EMPLOYED,,,,
30,LIVE-IN ,WY,YOUNG ADULT ,COLLEGE UNDERGRADUATE,EMPLOYED,,,,
21,SINGLE ,WY,CORE YOUTH,COLLEGE UNDERGRADUATE,EMPLOYED,,,,
19,SINGLE ,OSY,CORE YOUTH,HIGH SCHOOL GRADUATE ,UNEMPLOYED,,,,
30,MARRIED ,WY,YOUNG ADULT ,HIGH SCHOOL GRADUATE ,EMPLOYED,,,,
26,SINGLE ,WY,YOUNG ADULT ,VOCATIONAL GRADUATE ,UNEMPLOYED,,,,
16,SINGLE ,ISY,CHILD YOUTH ,ELEMENTARY GRADUATE,UNEMPLOYED,,,,
